H                             Stock Closing Prices File                 161458  20150309                                            
PAN8068571086            SCHLUMBERGERLTD                        1272.82438   20150309      161458MXN                                
PARARGE03E121            ARGENTINE REPUBLIC GOVERNMENT INTER       4.77715   20150309      161458MXN                                
PARARGE03F144            ARGENTINE REPUBLIC GOVERNMENT INTER      15.84231   20150309      161458MXN                                
PARARGE03F441            ARGENTINE REPUBLIC GOVERNMENT INTER      15.44049   20150309      161458MXN                                
PARP04981DG19            ARGENTINE REPUBLIC GOVERNMENT INTER       0.00000   20150309      161458MXN                                
PAT0000384177            AUSTRIA GOVERNMENT BOND COUPON STRI     504.37878   20150309      161458MXN                                
PAT0000652011            ERSTE GROUP BANK AG                     400.24910   20150309      161458MXN                                
PAU000000ANZ3            AUST AND NZ BANKING GROUP               418.94344   20150309      161458MXN                                
PAU000000MPL3            MEDIBANK PRIVATE                         28.95428   20150309      161458MXN                                
PAU000000SCG8            SCENTRE GROUP                            45.15915   20150309      161458MXN                                
PAU000000SFY4            SPDR S&P/ASX 50 FUND                    679.17452   20150309      161458MXN                                
PAU000000SYD9            SYDNEY AIRPORT HOLDINGS LTD.             61.00655   20150309      161458MXN                                
PAU0000GMGDC0            GOODMAN GROUP                            46.70814   20150309      161458MXN                                
PBE0003793107            ANHEUSER-BUSCH INBEV NV                1921.53132   20150309      161458MXN                                
PBE0974264930            AGEAS, S.A.                             545.74846   20150309      161458MXN                                
PBMG169621056            BUNGE LIMITED                          1240.37014   20150309      161458MXN                                
PBMG210821051            CHINA YUCHAI INTL LTD.                  303.52442   20150309      161458MXN                                
PBMG2519Y1084            CREDICORP LTD.                         2230.84264   20150309      161458MXN                                
PBMG253431073            COSAN LTD-CLASS A SHARES                103.85357   20150309      161458MXN                                
PBMG3682E1277            RONTLINE LTD.                            38.17237   20150309      161458MXN                                
PBMG667211046            NORWEGIAN CRUISE LINE HOLDINGS LTD.     786.08806   20150309      161458MXN                                
PBMG7945E1057            SEADRILL LTD ORD USD2.0                1264.94264   20150309      161458MXN                                
PBMG9143X2082            TYCO INTERNATIONAL LTD.                 675.04819   20150309      161458MXN                                
PBMG9880L1028            YUEXIU TRANSPORT INFRASTRUCTURE LTD      10.17693   20150309      161458MXN                                
PBRABEVACNOR1            AMBEV, S.A.                              90.37892   20150309      161458MXN                                
PBRAEDUACNOR9            ANHANGUERA EDUCACIONAL PART              90.72501   20150309      161458MXN                                
PBRAMARACNOR4            MARISA LOJAS, S.A.                       70.70123   20150309      161458MXN                                
PBRAMILACNOR0            AMIL PARTICIPACOES, S.A.                159.20138   20150309      161458MXN                                
PBRAUTMACNOR8            AUTOMETAL, S.A.                          97.39960   20150309      161458MXN                                
PBRBBASACNOR3            BANCO DO BRASIL, S.A.                   104.51917   20150309      161458MXN                                
PBRBBDCACNPR8            BANCO BRADESCO, S.A.-PREF               172.30336   20150309      161458MXN                                
PBRBBRKACNOR4            BRASIL BROKERS PARTICIPACOES             14.38745   20150309      161458MXN                                
PBRBEEFACNOR6            MINERVA, S.A.                            37.13051   20150309      161458MXN                                
PBRBISAACNOR8            BROOKFIELD INCORPORACOES, S.A.            7.81175   20150309      161458MXN                                
PBRBRAPACNPR2            BRADESPAR, S.A.                          59.57692   20150309      161458MXN                                
PBRBRFSACNOR8            BRASIL FOODS, S.A.                      313.45862   20150309      161458MXN                                
PBRBRINACNOR3            BRASIL INSURANCE PARTICIPACO             17.89779   20150309      161458MXN                                
PBRBRMLACNOR9            BR MALLS PARTICIPACOES, S.A.             74.60711   20150309      161458MXN                                
PBRBRPRACNOR9            BR PROPERTIES, S.A.                      55.47328   20150309      161458MXN                                
PBRBRSRACNPB4            BANCO ESTADO RIO GRANDE SUL              56.75875   20150309      161458MXN                                
PBRBTOWACNOR8            B2W COM GLOBAL DO VAREJO                100.61330   20150309      161458MXN                                
PBRBVMFACNOR3            BM&FBOVESPA, S.A.                        47.80986   20150309      161458MXN                                
PBRCCROACNOR2            COMPA¥IA DE CONCESOES RODOVIARIA         69.66297   20150309      161458MXN                                
PBRCESPACNPB4            CIA. ENERGETICA DE SP-PREF B            111.88594   20150309      161458MXN                                
PBRCIELACNOR3            CIELO, S.A.                             215.66349   20150309      161458MXN                                
PBRCMIGACNPR3            CIA ENERGETICA MINAS GER-PRF             57.64870   20150309      161458MXN                                
PBRCRUZACNOR0            SOUZA CRUZ, S.A.                        125.08680   20150309      161458MXN                                
PBRCSANACNOR6            COSAN ON                                130.52536   20150309      161458MXN                                
PBRCSMGACNOR5            CIA SANEAMENTO MINAS GERAIS              83.01215   20150309      161458MXN                                
PBRCSNAACNOR6            SID NACIONAL ON                          25.61066   20150309      161458MXN                                
PBRCTAXACNPR0            CONTAX PARTICIPACOES-PREF                 7.26789   20150309      161458MXN                                
PBRCTIPACNOR2            CETIP SA - BALCAO ORGANIZADO DE ATI     152.03238   20150309      161458MXN                                
PBRCYREACNOR7            CYRELA REALT ON                          55.72048   20150309      161458MXN                                
PBRDASAACNOR1            DIAGNOSTICOS DA AMERICA, S.A.            56.31378   20150309      161458MXN                                
PBRDIRRACNOR0            DIRECIONAL ENGENHARIA, S.A.              28.03329   20150309      161458MXN                                
PBRDTEXACNOR3            DURATEX S.A.                             38.56431   20150309      161458MXN                                
PBRELETACNPB7            CENTRAIS ELETRICAS BRASILIER             30.95033   20150309      161458MXN                                
PBRENBRACNOR2            EDP - ENERGIAS DO BRASIL, S.A.           41.13526   20150309      161458MXN                                
PBRESTCACNOR5            ESTACIO PARTICIPACOES, S.A.              80.39175   20150309      161458MXN                                
PBRFFTLACNPR7            FERTILIZANTES FOSFATADOS-PRF            123.90021   20150309      161458MXN                                
PBRFHERACNOR5            FERTILIZANTES HERINGER, S.A.             16.90897   20150309      161458MXN                                
PBRFLRYACNOR5            FLEURY, S.A.                             66.84480   20150309      161458MXN                                
PBRGETIACNPR4            AES TIETE, S.A.                          81.62779   20150309      161458MXN                                
PBRGGBRACNPR8            GERDAU, S.A.                             54.53389   20150309      161458MXN                                
PBRGOAUACNPR8            METALURGICA GERDAU SA-PREF               59.82412   20150309      161458MXN                                
PBRGPIVBDR003            GP INVESTMENTS LTD-BDR                   19.28215   20150309      161458MXN                                
PBRHGTXACNOR9            CIA HERING                               80.09511   20150309      161458MXN                                
PBRHRTPACNOR2            HRT PARTICIPACOES EM PETROLEO, S.A.      23.48468   20150309      161458MXN                                
PBRHYPEACNOR0            HYPERMARCAS, S.A.                        93.93870   20150309      161458MXN                                
PBRIGTAACNOR5            IGUATEMI EMP DE SHOPPING                126.07563   20150309      161458MXN                                
PBRITSAACNPR7            ITAUSA PN                                46.62326   20150309      161458MXN                                
PBRITUBACNPR1            ITAUBANCO PN                            168.54581   20150309      161458MXN                                
PBRJBSSACNOR8            JBS, S.A.                                65.16380   20150309      161458MXN                                
PBRKLBNACNPR9            KLABIN SA-PREF                           17.99668   20150309      161458MXN                                
PBRKROTCDAM11            KROTON EDUCACIONAL, S.A.                197.76569   20150309      161458MXN                                
PBRLAMEACNOR9            LOJAS AMERICANAS, S.A.                   62.19731   20150309      161458MXN                                
PBRLAMEACNPR6            LOJAS AMERICANAS, S.A.-PREF              79.84790   20150309      161458MXN                                
PBRLIGTACNOR2            LIGHT, S.A.                              61.99954   20150309      161458MXN                                
PBRLLISACNOR4            RESTOQUE COMERCIO E CONFEC               33.62017   20150309      161458MXN                                
PBRLPSBACNOR0            LPS BRASIL CONSULTORIA DE IMOVEIS,       31.39530   20150309      161458MXN                                
PBRLRENACNOR1            LOJAS RENNER, S.A.                      404.43084   20150309      161458MXN                                
PBRLUPAACNOR8            LUPATECH, S.A.                            0.24721   20150309      161458MXN                                
PBRMAGGACNOR4            MAGNESITA REFRATARIOS, S.A.               9.24555   20150309      161458MXN                                
PBRMGLUACNOR2            MAGAZINE LUIZA, S.A.                     25.41289   20150309      161458MXN                                
PBRMILSACNOR2            MILLS ESTRUTURAS E SERVICOS DE ENGE      34.60900   20150309      161458MXN                                
PBRMMXMACNOR2            MMX MINERACAO E METALICO-RCT              3.36202   20150309      161458MXN                                
PBRMPLUACNOR3            MULTIPLUS, S.A.                         173.09442   20150309      161458MXN                                
PBRMRFGACNOR0            MARFRIG FRIGORIFICOS E COMER             19.97434   20150309      161458MXN                                
PBRMRVEACNOR2            MRV ENGENHARIA                           33.37296   20150309      161458MXN                                
PBRMULTACNOR5            MULTIPLAN EMPREENDIMIENTOS              245.08113   20150309      161458MXN                                
PBRNATUACNOR6            NATURA COSMETICOS, S.A.                 125.77898   20150309      161458MXN                                
PBRNETCACNPR3            NET SERVICOS DE COMUNI-PREF             197.76569   20150309      161458MXN                                
PBRODPVACNOR4            ODONTOPREV, S.A.                         51.66629   20150309      161458MXN                                
PBROGXPACNOR3            OGX PETROLEO E GAS PARTICIPA              0.34609   20150309      161458MXN                                
PBROHLBACNOR6            OBRASCON HUARTE LAIN BRASIL              93.19708   20150309      161458MXN                                
PBROSXBACNOR8            OSX BRASIL, S.A.                          0.93939   20150309      161458MXN                                
PBRPDGRACNOR8            PDG REALTY, S.A.                          1.97766   20150309      161458MXN                                
PBRPETRACNOR9            PETROBRAS - PETROLEO BRAS                43.45901   20150309      161458MXN                                
PBRPETRACNPR6            PETROBRAS - PETROLEO BRAS-PR             44.05231   20150309      161458MXN                                
PBRPOMOACNPR7            MARCOPOLO SA-PREF                        10.38270   20150309      161458MXN                                
PBRPOSIACNOR9            POSITIVO INFORMATICA, S.A.               10.87711   20150309      161458MXN                                
PBRQGEPACNOR8            QGEP PARTICIPACOES, S.A.                 31.39530   20150309      161458MXN                                
PBRRAIAACNOR2            RAIA, S.A.                              150.79634   20150309      161458MXN                                
PBRRAPTACNPR4            RANDON PARTICIPACOES, S.A. PREF          16.36511   20150309      161458MXN                                
PBRRDCDACNOR3            REDECARD, S.A.                          173.83604   20150309      161458MXN                                
PBRRENTACNOR4            LOCALIZA RENT A CAR                     167.95251   20150309      161458MXN                                
PBRROMIACNOR8            INDUSTRIAS ROMI, S.A.                     8.30616   20150309      161458MXN                                
PBRRSIDACNOR8            ROSSI RESIDENCIAL, S.A.                  13.34918   20150309      161458MXN                                
PBRSLCEACNOR2            SLC AGRICOLA, S.A.                       68.67414   20150309      161458MXN                                
PBRSLEDACNPR7            SARAIVA, S.A. LIVREIROS-PREF             20.96316   20150309      161458MXN                                
PBRSMTOACNOR3            SAO MARTINHO, S.A.                      176.65420   20150309      161458MXN                                
PBRSTNCLTN6S3            BRAZIL LETRAS DO TESOURO NACIONAL      4446.51581   20150309      161458MXN                                
PBRSTNCLTN6V7            BRAZIL LETRAS DO TESOURO NACIONAL      4904.10892   20150309      161458MXN                                
PBRSTNCLTN6W5            BRAZIL LETRAS DO TESOURO NACIONAL      4181.71998   20150309      161458MXN                                
PBRSTNCLTN6X3            BRAZIL LETRAS DO TESOURO NACIONAL      3929.70459   20150309      161458MXN                                
