H                             Stock Closing Prices File                 130548  20150325                                            
PAN8068571086            SCHLUMBERGERLTD                        1245.38540   20150325      130548MXN                                
PARARGE03E121            ARGENTINE REPUBLIC GOVERNMENT INTER       2.81321   20150325      130548MXN                                
PARARGE03F144            ARGENTINE REPUBLIC GOVERNMENT INTER      15.32771   20150325      130548MXN                                
PARARGE03F441            ARGENTINE REPUBLIC GOVERNMENT INTER      14.93894   20150325      130548MXN                                
PARP04981DG19            ARGENTINE REPUBLIC GOVERNMENT INTER       0.00000   20150325      130548MXN                                
PAT0000652011            ERSTE GROUP BANK AG                     385.06721   20150325      130548MXN                                
PAU000000ANZ3            AUST AND NZ BANKING GROUP               420.97130   20150325      130548MXN                                
PAU000000MPL3            MEDIBANK PRIVATE                         27.42408   20150325      130548MXN                                
PAU000000SCG8            SCENTRE GROUP                            45.47240   20150325      130548MXN                                
PAU000000SFY4            SPDR S&P/ASX 50 FUND                    666.85042   20150325      130548MXN                                
PAU000000SYD9            SYDNEY AIRPORT HOLDINGS LTD.             62.23156   20150325      130548MXN                                
PAU0000GMGDC0            GOODMAN GROUP                            45.94119   20150325      130548MXN                                
PBE0003793107            ANHEUSER-BUSCH INBEV NV                1830.68767   20150325      130548MXN                                
PBE0974264930            AGEAS, S.A.                             543.79782   20150325      130548MXN                                
PBMG169621056            BUNGE LIMITED                          1189.46342   20150325      130548MXN                                
PBMG210821051            CHINA YUCHAI INTL LTD.                  296.65562   20150325      130548MXN                                
PBMG2519Y1084            CREDICORP LTD.                         2070.75788   20150325      130548MXN                                
PBMG253431073            COSAN LTD-CLASS A SHARES                101.22775   20150325      130548MXN                                
PBMG3682E1277            RONTLINE LTD.                            34.54004   20150325      130548MXN                                
PBMG667211046            NORWEGIAN CRUISE LINE HOLDINGS LTD.     764.81526   20150325      130548MXN                                
PBMG7945E1057            SEADRILL LTD ORD USD2.0                1137.87764   20150325      130548MXN                                
PBMG9143X2082            TYCO INTERNATIONAL LTD.                 653.12083   20150325      130548MXN                                
PBMG9880L1028            YUEXIU TRANSPORT INFRASTRUCTURE LTD       5.06000   20150325      130548MXN                                
PBRABEVACNOR1            AMBEV, S.A.                              86.19998   20150325      130548MXN                                
PBRAEDUACNOR9            ANHANGUERA EDUCACIONAL PART              85.82581   20150325      130548MXN                                
PBRAMARACNOR4            MARISA LOJAS, S.A.                       65.19956   20150325      130548MXN                                
PBRAMILACNOR0            AMIL PARTICIPACOES, S.A.                150.60442   20150325      130548MXN                                
PBRAUTMACNOR8            AUTOMETAL, S.A.                          92.13997   20150325      130548MXN                                
PBRBBASACNOR3            BANCO DO BRASIL, S.A.                   107.52782   20150325      130548MXN                                
PBRBBDCACNPR8            BANCO BRADESCO, S.A.-PREF               170.34202   20150325      130548MXN                                
PBRBBRKACNOR4            BRASIL BROKERS PARTICIPACOES             12.62832   20150325      130548MXN                                
PBRBEEFACNOR6            MINERVA, S.A.                            36.80922   20150325      130548MXN                                
PBRBISAACNOR8            BROOKFIELD INCORPORACOES, S.A.            7.38991   20150325      130548MXN                                
PBRBRAPACNPR2            BRADESPAR, S.A.                          54.76950   20150325      130548MXN                                
