ID PIP,ID MS,TIP_SWAP,Fecha de Inicio,Fecha de Vencimiento,Nominal Recibe,Tasa de Referencia Recibe,Tasa Fija Recibe,Spread Recibe,Nominal Entrega,Tasa de Referencia Entrega,Tasa Fija Entrega,Spread Entrega,Pata Larga,Pata Corta,Valuación
MSCB0000014,1s221,6TIEMXP,07/05/2012,21/03/2030,18500000,T028,8.29,0,18500000,T028,0,0,15394456.69,11729460.73,3664995.962
MSCB0000015,1s223,6TIEMXP,07/05/2012,04/08/2028,7750000,T028,8.985,0,7750000,T028,0,0,6552733.146,4542646.715,2010086.431
MSCB0000018,1s227,6TIEMXP,07/05/2012,27/08/2018,31000000,T028,8.93,0,31000000,T028,0,0,8975953.74,4848335.015,4127618.725
MSCB0000019,1s228,6TIEMXP,07/05/2012,05/06/2029,5250000,T028,8.81,0,5250000,T028,0,0,4477970.951,3198762.203,1279208.748
MSCB0000020,1s229,6TIEMXP,07/05/2012,05/07/2019,38000000,T028,8.28,0,38000000,T028,0,0,12411749.63,7655592.529,4756157.1
MSCB0000021,1s22e,6TIEMXP,07/05/2012,04/06/2029,8750000,T028,8.82,0,8750000,T028,0,0,7473059.986,5331424.616,2141635.37
MSCB0000022,1s22f,6TIEMXP,07/05/2012,13/07/2018,26000000,T028,9.25,0,26000000,T028,0,0,7476822.711,3873350.22,3603472.491
MSCB0000023,1s22p,6TIEMXP,07/05/2012,09/10/2019,21500000,T028,8.1,0,21500000,T028,0,0,7314445.757,4655366.03,2659079.727
MSCB0000027,1s233,6TIEMXP,07/05/2012,16/10/2019,13050000,T028,8.34,0,13050000,T028,0,0,4566646.593,2830452.587,1736194.006
MSCB0000046,1s2gx,6TIEMXP,09/05/2012,27/08/2018,422000000,T028,8.93,0,422000000,T028,0,0,122188789.6,65999915.36,56188874.26
MSCB0000048,1s2h7,6TIEMXP,09/05/2012,04/08/2028,105500000,T028,8.985,0,105500000,T028,0,0,89201722.18,61838610.12,27363112.06
MSCB0000049,1s2h9,6TIEMXP,09/05/2012,21/03/2030,197500000,T028,8.29,0,197500000,T028,0,0,164346226.8,125219918.6,39126308.25
MSCB0000050,1s2ha,6TIEMXP,09/05/2012,04/06/2029,103000000,T028,8.82,0,103000000,T028,0,0,87968591.83,62758484.05,25210107.78
MSCB0000051,1s2hc,6TIEMXP,09/05/2012,13/07/2018,430000000,T028,9.25,0,430000000,T028,0,0,123655144.8,64059253.64,59595891.2
MSCB0000052,1s2hj,6TIEMXP,09/05/2012,18/05/2016,196483000,T028,9.67,0,196483000,T028,0,0,21679358.04,8678644.805,13000713.24
MSCB0000053,1s2hz,6TIEMXP,09/05/2012,05/06/2029,61800000,T028,8.81,0,61800000,T028,0,0,52712115.2,37654000.8,15058114.4
MSCB0000054,1s2j9,6TIEMXP,09/05/2012,05/07/2019,79000000,T028,8.28,0,79000000,T028,0,0,25803374.23,15915573.94,9887800.287
MSCB0000058,1s2t1,6TIEMXP,09/05/2012,01/12/2021,335000000,T028,6.7,0,335000000,T028,0,0,129904572.8,109189056.2,20715516.61
MSCB0000059,1s2t3,6TIEMXP,09/05/2012,16/10/2019,48300000,T028,8.34,0,48300000,T028,0,0,16901841.41,10475927.97,6425913.446
MSCB0000061,1s2ta,6TIEMXP,09/05/2012,09/10/2019,80750000,T028,8.1,0,80750000,T028,0,0,27471697.44,17484688.69,9987008.74
MSCB0000081,1s357,6TIEMXP,11/05/2012,09/10/2019,54250000,T028,8.1,0,54250000,T028,0,0,18456217.78,11746679.4,6709538.38
MSCB0000082,1s35f,6TIEMXP,11/05/2012,16/10/2019,32700000,T028,8.34,0,32700000,T028,0,0,11442861.58,7092398.437,4350463.14
MSCB0000084,1s35m,6TIEMXP,11/05/2012,09/10/2030,230000000,T028,7.11,0,230000000,T028,0,0,167168425,149268319.5,17900105.51
MSCB0000089,1s36c,6TIEMXP,11/05/2012,18/05/2016,104191000,T028,9.67,0,104191000,T028,0,0,11496129.4,4602111.536,6894017.869
MSCB0000091,1s36h,6TIEMXP,11/05/2012,04/08/2028,38250000,T028,8.985,0,38250000,T028,0,0,32340908.75,22420159.59,9920749.159
MSCB0000094,1s36t,6TIEMXP,11/05/2012,21/03/2030,83000000,T028,8.29,0,83000000,T028,0,0,69067021.91,52624067.05,16442954.86
MSCB0000096,1s378,6TIEMXP,11/05/2012,04/06/2029,38500000,T028,8.82,0,38500000,T028,0,0,32881463.94,23458268.31,9423195.627
MSCB0000099,1s37w,6TIEMXP,11/05/2012,09/10/2019,82500000,T028,8.1,0,82500000,T028,0,0,28067059.3,17863613.84,10203445.46
MSCB0000102,1s387,6TIEMXP,11/05/2012,01/12/2021,370000000,T028,6.7,0,370000000,T028,0,0,143476692.4,120596868.1,22879824.31
MSCB0000106,1s38n,6TIEMXP,11/05/2012,16/10/2019,49350000,T028,8.34,0,49350000,T028,0,0,17269272.75,10703665.53,6565607.216
MSCB0000108,1s38v,6TIEMXP,11/05/2012,04/08/2028,76500000,T028,8.985,0,76500000,T028,0,0,64681817.5,44840319.18,19841498.32
MSCB0000109,1s38x,6TIEMXP,11/05/2012,05/07/2019,72000000,T028,8.28,0,72000000,T028,0,0,23516999.3,14505333.21,9011666.085
MSCB0000110,1s38y,6TIEMXP,11/05/2012,05/06/2029,46050000,T028,8.81,0,46050000,T028,0,0,39278202.34,28057714.18,11220488.16
MSCB0000112,1s394,6TIEMXP,11/05/2012,18/05/2016,166603000,T028,9.67,0,166603000,T028,0,0,18382486.46,7358846.62,11023639.84
MSCB0000113,1s395,6TIEMXP,11/05/2012,21/03/2030,165000000,T028,8.29,0,165000000,T028,0,0,137301911,104614109.2,32687801.83
MSCB0000115,1s39d,6TIEMXP,11/05/2012,04/06/2029,76750000,T028,8.82,0,76750000,T028,0,0,65549411.87,46764210.2,18785201.67
MSCB0000116,1s39x,6TIEMXP,11/05/2012,05/07/2019,47000000,T028,8.28,0,47000000,T028,0,0,15351374.54,9468759.181,5882615.361
MSCB0000117,1s39z,6TIEMXP,11/05/2012,05/06/2029,23100000,T028,8.81,0,23100000,T028,0,0,19703072.18,14074553.7,5628518.489
MSCB0000160,1segu,6TIEMXP,09/07/2012,02/07/2018,400000000,T028,5.2528,0,400000000,T028,0,0,65358765.19,59323785.44,6034979.759
MSCB0000171,1ab51,6TIEMXP,23/11/2012,16/10/2019,6600000,T028,8.34,0,6600000,T028,0,0,2309568.392,1431493.263,878075.1293
MSCB0000172,1ab54,6TIEMXP,23/11/2012,09/10/2019,11000000,T028,8.1,0,11000000,T028,0,0,3742274.573,2381815.178,1360459.395
MSCB0000175,1ab59,6TIEMXP,23/11/2012,01/12/2021,35000000,T028,6.7,0,35000000,T028,0,0,13572119.55,11407811.85,2164307.705
MSCB0000176,1ab5c,6TIEMXP,23/11/2012,05/07/2019,14000000,T028,8.28,0,14000000,T028,0,0,4572749.863,2820481.458,1752268.405
MSCB0000178,1ab5n,6TIEMXP,23/11/2012,02/07/2018,70000000,T028,5.2528,0,70000000,T028,0,0,11437783.91,10381662.45,1056121.458
MSCB0000180,1ab5t,6TIEMXP,23/11/2012,13/07/2018,99000000,T028,9.25,0,99000000,T028,0,0,28469440.32,14748525.84,13720914.49
MSCB0000181,1ab5v,6TIEMXP,23/11/2012,18/05/2016,32723000,T028,9.67,0,32723000,T028,0,0,3610559.861,1445373.36,2165186.501
MSCB0000182,1ab5x,6TIEMXP,23/11/2012,27/08/2018,88000000,T028,8.93,0,88000000,T028,0,0,25480126.75,13763015.53,11717111.22
MSCB0000185,1ab6h,6TIEMXP,23/11/2012,05/06/2029,13800000,T028,8.81,0,13800000,T028,0,0,11770666.5,8408174.935,3362491.565
